ITEM NO.|CROSS-REFERENCE NO.|DESCRIPTION|DESCRIPTION 2|ITEM CATEGORY|PRODUCT GROUP|LOCATION|QUANTITY|OE MANUFACTURER|WEIGHT|CUBAGE|HEIGHT|WIDTH|DEPTH|ITEM UPC NO.|COUNTRY OF ORIG|TARIFF NO.|SCHEDULE B CODE
APP1580|1897455C91;1897455C92;1897455C93|AP63484|Turbo Installation Kit, Maxxforce 7 Post 2010|Turbo Repair/Install Comp|General||2|ALLIANT POWER|0.837|136.5|2|7|9.75|843497102938|US|8708998180|4009110000
APP1581|1876540;1876540C91;1876540C92|AP63483|Turbo Installation Kit, Maxxforce 7 2010 Emission|Turbo Repair/Install Comp|General||1|ALLIANT POWER|0.396|22.5|0.5|5|9|843497102921|US|8708998180|4009110000
APP1583|1840053;1840053C95;1840053C96;1840053C97;3C3Z9T514;3C3Z9T514AD;3C3Z-9T514-AD;3C3Z9T514AG;3C3Z-9T514-AG|AP63481|Turbo Installation Kit, Ford Navistar 6.0L VT365|Turbo Repair/Install Comp|General||80|ALLIANT POWER|0.135|9.5|0.5|4|4.75|843497102907|US|8708998180|4009110000
APP1601|1831658C91;F81A6N653BA;F81Z6N653;F81Z6N653BA;F81Z-6N653-BA|AP63461|Turbo/Pedestal Install Kit, Ford 7.3L Late 99-03|Turbo Repair/Install Comp|General||3|ALLIANT POWER|0.362|38.25|3|3|4.25|843497102723|US|8708998180|4009110000
APP1607|6C3Z6C640;6C3Z6C640A;6C3Z6C640AA|AP63455|Turbo Hose, Long|Turbo Repair/Install Comp|General||19|ALLIANT POWER|0.379|40.5|3|3|4.5|843497102662|CN|8708998180|4009110000
APP1608|6C3Z6C640;6C3Z6C640C;6C3Z6C640CA|AP63454|Turbo Hose, Short|Turbo Repair/Install Comp|General||7|ALLIANT POWER|0.291|36|3|3|4|843497102655|CN|8708998180|4009110000
APP3091||AP0034|Turbo Wastegate Solenoid Connector Pigtail|Turbo Repair/Install Comp|General||0|ALLIANT POWER|0.035|7|0.25|4|7|843497100347|US|8708998180|4009110000
APP40256|8C3Z9T514;8C3Z-9T514-A;8C3Z-9T514-B;8C3Z9T514C;8C3Z-9T514-C|AP63482|Turbo Installation Kit, Ford 6.4L 2008-2010|Turbo Repair/Install Comp|General||5|ALLIANT POWER|0.508|42.75|1|4.75|9|843497102914|US|8708998180|4009110000
APP40404||AP0166|Turbo Install Kit 2011-16 Ford 6.7L Minus Clamps|Turbocharger Components|Install Kits||0|ALLIANT POWER|0.83|157.781|2.125|6.75|11|843497104932|US|8484100000|8501104060
APP40405|BC3Z8287A;BC3Z-8287-A;BC3Z8287B;BC3Z-8287-B|AP0167|Turbo Exhaust Clamp Kit, Ford 6.7L 11-16|Turbocharger Components|Install Kits||2|ALLIANT POWER|1.5|125|5|5|5|843497104949|US|8484100000|8501104060
APP40410|12580720;12627913;12629458;12631851;1263224;12632249;12634299;12634300;12635167;12635325;12635466;12637217;12637218;12637721;12640123;12642129;12642130;12642313;12642314;12643546;12643547;12677684;97192618;97331137;97363570;97373522;98002804;98049166;98062923;98065519;98065520;98065521;98065523|AP0165|Turbo Install Kit, GM 6.6L 2011-16|Turbocharger Components|Install Kits||7|ALLIANT POWER|0.71|121.6|2|6.08|10|843497104925|US|8484100000|8501104060
APP40462|4034090NX;4034168NX;4034309NX;4034309RX;4633444;5452689;5494878NX;5494878RX;5498269NX;5601240NX;5601240RX;6382096RX;6498269RX;68232771;68232771AA;68244609;68244609AA;68307025;68307025AA;68444773AA;68445522AA;68481772AA;R68444773AA;R8481772AA|AP63587|Reman Turbo Actuator, Cummins 6.7L ISB|Turbocharger Components|Actuator||0|ALLIANT POWER|4.152|614.125|8.5|8.5|8.5|843497112739|US|8414904190|8414902095
